"","DAY","variable","value"
"551","28-Aug","X2000",92
"552","29-Aug","X2000",92
"553","30-Aug","X2000",88
"554","31-Aug","X2000",87
"555","1-Sep","X2000",79
"556","2-Sep","X2000",81
"557","3-Sep","X2000",82
"558","4-Sep","X2000",87
"559","5-Sep","X2000",81
"560","6-Sep","X2000",66
"561","7-Sep","X2000",66
"562","8-Sep","X2000",75
"563","9-Sep","X2000",80
"564","10-Sep","X2000",82
"565","11-Sep","X2000",84
"566","12-Sep","X2000",86
"567","13-Sep","X2000",87
"568","14-Sep","X2000",86
"569","15-Sep","X2000",80
"570","16-Sep","X2000",75
"571","17-Sep","X2000",73
"572","18-Sep","X2000",73
"573","19-Sep","X2000",84
"574","20-Sep","X2000",87
"575","21-Sep","X2000",77
"576","22-Sep","X2000",73
"577","23-Sep","X2000",81
"578","24-Sep","X2000",84
"579","25-Sep","X2000",82
"580","26-Sep","X2000",68
"581","27-Sep","X2000",71
"582","28-Sep","X2000",75
"583","29-Sep","X2000",73
"584","30-Sep","X2000",75
"585","1-Oct","X2000",77
"586","2-Oct","X2000",79
"587","3-Oct","X2000",82
"588","4-Oct","X2000",81
"589","5-Oct","X2000",82
"590","6-Oct","X2000",73
"591","7-Oct","X2000",66
"592","8-Oct","X2000",55
"593","9-Oct","X2000",55
"594","10-Oct","X2000",64
"595","11-Oct","X2000",71
"596","12-Oct","X2000",73
"597","13-Oct","X2000",75
"598","14-Oct","X2000",75
"599","15-Oct","X2000",77
"600","16-Oct","X2000",80
"601","17-Oct","X2000",80
"602","18-Oct","X2000",80
"603","19-Oct","X2000",73
"604","20-Oct","X2000",73
"605","21-Oct","X2000",75
"606","22-Oct","X2000",79
"607","23-Oct","X2000",75
"608","24-Oct","X2000",75
"609","25-Oct","X2000",78
"610","26-Oct","X2000",75
"611","27-Oct","X2000",78
"612","28-Oct","X2000",80
"613","29-Oct","X2000",75
"614","30-Oct","X2000",77
"615","31-Oct","X2000",78
"616","1-Jul","X2001",84
"617","2-Jul","X2001",87
"618","3-Jul","X2001",87
"619","4-Jul","X2001",84
"620","5-Jul","X2001",86
"621","6-Jul","X2001",87
"622","7-Jul","X2001",87
"623","8-Jul","X2001",89
"624","9-Jul","X2001",91
"625","10-Jul","X2001",87
"626","11-Jul","X2001",90
"627","12-Jul","X2001",90
"628","13-Jul","X2001",86
"629","14-Jul","X2001",82
"630","15-Jul","X2001",82
"631","16-Jul","X2001",84
"632","17-Jul","X2001",87
"633","18-Jul","X2001",88
"634","19-Jul","X2001",90
"635","20-Jul","X2001",87
"636","21-Jul","X2001",84
"637","22-Jul","X2001",87
"638","23-Jul","X2001",90
"639","24-Jul","X2001",84
"640","25-Jul","X2001",82
"641","26-Jul","X2001",88
"642","27-Jul","X2001",90
"643","28-Jul","X2001",84
"644","29-Jul","X2001",89
"645","30-Jul","X2001",89
"646","31-Jul","X2001",87
"647","1-Aug","X2001",84
"648","2-Aug","X2001",84
"649","3-Aug","X2001",84
"650","4-Aug","X2001",86
"651","5-Aug","X2001",88
"652","6-Aug","X2001",84
"653","7-Aug","X2001",86
"654","8-Aug","X2001",88
"655","9-Aug","X2001",87
"656","10-Aug","X2001",88
"657","11-Aug","X2001",86
"658","12-Aug","X2001",86
"659","13-Aug","X2001",81
"660","14-Aug","X2001",87
"661","15-Aug","X2001",84
"662","16-Aug","X2001",90
"663","17-Aug","X2001",91
"664","18-Aug","X2001",91
"665","19-Aug","X2001",87
"666","20-Aug","X2001",86
"667","21-Aug","X2001",88
"668","22-Aug","X2001",90
"669","23-Aug","X2001",88
"670","24-Aug","X2001",93
